Sire,Dam,animal,Column,Block,Chosen/Rejected,Vial,l2,l3,l4,l5
12,115,618,F,1,1,115,1.708325578,0.381502375,0.407685108,0.577402118
12,115,619,F,1,1,115,1.706499142,0.37302761,0.353989546,0.563752106
12,115,620,F,1,1,115,1.70565273,0.364272068,0.36594649,0.517476807
12,115,621,B,1,0,115,1.71350024,0.368587429,0.310475649,0.550003006
12,115,622,B,1,0,115,1.725958878,0.269466514,0.331292046,0.521096325
12,115,623,B,1,1,115,1.716186401,0.282861139,0.340428375,0.466554655
12,115,624,B,1,1,115,1.697847933,0.259694351,0.228214378,0.545815018
12,115,625,B,1,1,115,1.736498442,0.326759126,0.370442262,0.589813143
12,116,626,F,1,1,116,1.650146979,0.477366949,0.240954379,0.544344278
12,116,627,F,1,1,116,1.701606642,0.499380575,0.318183587,0.520702034
12,116,628,F,1,0,116,1.66968423,0.467734967,0.343380679,0.561048568
12,116,629,F,1,1,116,1.708885504,0.551468004,0.330933954,0.708876695
12,116,630,F,1,1,116,1.696314118,0.572836638,0.218589327,0.709474701
12,116,631,B,1,0,116,1.66618592,0.395306905,0.304957664,0.466912432
12,116,632,B,1,0,116,1.692437243,0.470327495,0.278602952,0.662806957
12,116,633,B,1,0,116,1.703646493,0.506926084,0.407115032,0.369477272
12,116,634,B,1,0,116,1.670395851,0.399784024,0.33918315,0.545980997
13,117,635,F,1,0,117,1.714909513,0.264648647,0.101302859,0.718391403
13,117,636,F,1,0,117,1.699005846,0.289076836,0.139563706,0.471727866
13,117,637,F,1,0,117,1.702036695,0.252931265,0.125194017,0.657611047
13,117,638,F,1,1,117,1.679500262,0.273753355,0.07835808,0.471344141
13,117,639,F,1,0,117,1.706522722,0.295998291,0.113939235,0.64598481
13,117,640,B,1,0,117,1.703294312,0.297185657,0.157166984,0.695827794
13,117,641,B,1,0,117,1.711410078,0.319297758,0.152233748,0.754971714
13,117,642,B,1,1,117,1.68925581,0.256134046,0.169845085,0.678788437
13,117,643,B,1,1,117,1.712665694,0.339198364,0.146247844,0.711467426
13,117,644,B,1,0,117,1.701279344,0.287531711,0.109117488,0.719210765
13,118,645,F,1,0,118,1.697885775,0.254569792,0.358106769,0.673167703
13,118,646,F,1,1,118,1.699870247,0.353956,0.339785772,0.624038962
13,118,647,F,1,0,118,1.703323305,0.247631871,0.379746927,0.716287069
13,118,648,F,1,0,118,1.648451313,0.302490419,0.273324559,0.266933821
13,118,649,F,1,1,118,1.715292796,0.36396111,0.482572067,0.750097803
13,118,650,B,1,0,118,1.681690964,0.294043854,0.253844068,0.648295204
13,118,651,B,1,0,118,1.692707834,0.311911695,0.365878965,0.645734164
13,118,652,B,1,0,118,1.695329349,0.269757041,0.338038115,0.632591095
13,118,653,B,1,0,118,1.720689035,0.382217351,0.194006615,0.749477128
13,118,654,B,1,0,118,1.717884841,0.300597488,0.19611053,0.67793253
13,119,655,B,1,1,119,1.691417819,0.294406277,0.146384939,0.659434709
13,119,656,F,1,1,119,1.709678199,0.29453237,0.112745171,0.700870913
13,119,657,F,1,1,119,1.691501993,0.275885966,0.213033851,0.790518884
13,119,658,F,1,0,119,1.705553439,0.368143859,0.213712333,0.772486529
13,119,659,F,1,1,119,1.696891544,0.267776618,0.130114616,0.777819478
13,119,660,F,1,0,119,1.684934668,0.3580096,0.210743679,0.74644046
14,120,661,F,1,0,120,1.715229233,0.362258049,0.69142539,0.815279877
14,120,662,F,1,1,120,1.730204194,0.342577181,0.74077205,0.885991151
14,120,663,F,1,1,120,1.74944541,0.403470582,0.753513395,0.953599717
14,120,664,F,1,1,120,1.740415519,0.312850436,0.492343454,0.69260598
14,120,665,F,1,1,120,1.721520436,0.340939475,0.458051566,0.794187968
14,120,666,B,1,1,120,1.714867517,0.381880212,0.658131479,1.05092158
14,120,667,B,1,0,120,1.723946078,0.333799213,0.39443689,0.836414653
14,120,668,B,1,1,120,1.747192757,0.434879333,0.777326553,1.072463685
14,120,669,B,1,0,120,1.745051555,0.332413818,0.445160795,0.731308796
14,120,670,B,1,1,120,1.740122471,0.266017675,0.380737925,0.736982919
14,121,671,F,1,0,121,1.640581764,0.332942778,0.370381373,0.466457167
14,121,672,F,1,0,121,1.688073078,0.235193651,0.566241008,0.308411087
14,121,673,F,1,0,121,1.690495681,0.248595279,0.551610388,0.380782025
14,121,674,F,1,1,121,1.706316538,0.361817928,0.769318096,0.633498183
14,121,675,F,1,0,121,1.688014921,0.414383385,0.530275506,0.578701988
14,121,676,B,1,0,121,1.738675337,0.314371837,0.74057805,0.958985596
14,121,677,B,1,0,121,1.712754661,0.344083375,0.659406439,0.992946531
14,121,678,B,1,1,121,1.741809247,0.220642654,0.365652843,0.796038204
14,121,679,B,1,1,121,1.738705117,0.221910331,0.471169628,0.81393645
14,121,680,B,1,0,121,1.748712494,0.253358939,0.348662557,0.681378302
14,122,681,F,1,0,122,1.670961625,0.339780731,0.292087534,0.483646746
14,122,682,F,1,1,122,1.680517287,0.357286735,0.326128006,0.570039457
14,122,683,F,1,1,122,1.684168507,0.429147995,0.368180894,0.578371105
